id	country	village_name	cl	X1	X2	X3	X4	X5
596704	TAJIKISTAN	Khorog	3	1.68E-05	7.06E-07	0.999977558	1.97E-08	4.93E-06
596705	TAJIKISTAN	Khorog	1	0.999898432	2.94E-07	4.38E-06	3.15E-05	6.54E-05
596706	TAJIKISTAN	Khorog	4	6.86E-05	1.63E-08	6.89E-12	0.999931428	2.37E-10
596707	TAJIKISTAN	Khorog	4	0.027685685	2.24E-05	1.54E-06	0.97229038	1.69E-08
596708	TAJIKISTAN	Khorog	1	0.89229238	6.16E-05	1.90E-08	0.10756205	8.40E-05
596709	TAJIKISTAN	Khorog	4	0.004266362	2.85E-06	3.34E-09	0.995730756	2.90E-08
596710	TAJIKISTAN	Khorog	1	0.992493706	3.98E-06	2.76E-08	9.22E-06	0.007493063
596713	TAJIKISTAN	Khorog	1	0.5247444	0.008837697	2.97E-06	0.023003866	0.443411064
596714	TAJIKISTAN	Khorog	4	3.36E-07	4.96E-09	1.93E-14	0.999999659	2.60E-14
596715	TAJIKISTAN	Khorog	4	0.012785792	3.44E-07	3.71E-12	0.98721386	4.41E-09
596716	TAJIKISTAN	Khorog	4	0.114790414	0.000461848	0.000901621	0.883845851	2.66E-07
596718	TAJIKISTAN	Khorog	4	0.149179477	0.00023565	7.17E-07	0.850583714	4.42E-07
596721	TAJIKISTAN	Khorog	4	6.00E-06	3.73E-07	4.56E-11	0.999993629	2.18E-09
596722	TAJIKISTAN	Khorog	4	0.000483103	1.81E-07	1.02E-09	0.999516713	2.04E-09
596723	TAJIKISTAN	Khorog	4	0.005664506	0.00020347	1.72E-10	0.994131569	4.55E-07
596724	TAJIKISTAN	Khorog	4	0.022641132	7.64E-05	9.50E-08	0.977282301	7.68E-08
596727	TAJIKISTAN	Khorog	4	1.12E-07	1.28E-07	1.78E-11	0.99999976	1.87E-12
596728	TAJIKISTAN	Khorog	1	0.999900853	1.18E-07	2.57E-08	9.86E-05	4.35E-07
596729	TAJIKISTAN	Khorog	1	0.644944379	4.14E-06	1.37E-06	0.355047802	2.31E-06
596730	TAJIKISTAN	Khorog	4	1.12E-05	9.69E-08	1.20E-13	0.999988735	3.73E-13
596732	TAJIKISTAN	Khorog	3	1.26E-05	0.000137015	0.999844864	6.19E-10	5.50E-06
596733	TAJIKISTAN	Khorog	1	0.999919531	4.89E-07	1.67E-06	3.98E-06	7.43E-05
596735	TAJIKISTAN	Rushan	4	1.97E-05	3.10E-07	1.36E-11	0.999979974	9.49E-11
596737	TAJIKISTAN	Rushan	1	0.885724144	0.000120173	0.003101214	0.111008189	4.63E-05
596738	TAJIKISTAN	Rushan	4	1.34E-05	1.70E-08	5.08E-13	0.999986596	2.67E-13
596739	TAJIKISTAN	Rushan	4	0.00198596	0.000269996	3.61E-08	0.997743985	2.35E-08
596740	TAJIKISTAN	Rushan	4	0.041483132	0.001184341	1.90E-08	0.957332237	2.71E-07
596742	TAJIKISTAN	Rushan	4	6.80E-06	1.52E-07	8.44E-10	0.999993052	3.74E-12
596743	TAJIKISTAN	Rushan	4	0.000593625	0.000356375	1.55E-08	0.999049979	5.69E-09
596744	TAJIKISTAN	Rushan	4	1.46E-06	1.12E-08	7.51E-15	0.999998532	8.02E-14
596745	TAJIKISTAN	Rushan	4	4.57E-05	1.04E-06	9.39E-11	0.999953299	2.51E-11
596747	TAJIKISTAN	Rushan	3	0.000332922	5.52E-06	0.997892368	1.71E-07	0.001769022
596748	TAJIKISTAN	Rushan	3	8.41E-07	5.41E-05	0.999944778	2.54E-07	3.31E-08
596749	TAJIKISTAN	Rushan	4	0.042609997	0.010229352	1.44E-08	0.947106322	5.43E-05
596750	TAJIKISTAN	Rushan	4	0.054330246	0.006172422	1.05E-05	0.939486569	3.10E-07
596751	TAJIKISTAN	Rushan	1	0.991655553	0.007783957	1.62E-05	5.07E-05	0.000493592
596752	TAJIKISTAN	Rushan	2	0.00099373	0.973116737	0.000826744	0.010000693	0.015062096
596753	TAJIKISTAN	Rushan	4	0.002989005	5.72E-05	3.99E-09	0.996953619	1.49E-07
596754	TAJIKISTAN	Rushan	1	0.977405417	0.0044078	3.54E-07	0.018178282	8.15E-06
596757	UZBEKISTAN	Tashkent	4	3.85E-05	3.50E-06	6.98E-12	0.999957976	1.54E-11
596758	UZBEKISTAN	Tashkent	4	5.26E-05	8.01E-06	1.57E-13	0.99993943	2.80E-11
596759	UZBEKISTAN	Tashkent	1	0.997420791	1.86E-05	1.29E-08	0.002560212	3.39E-07
596760	UZBEKISTAN	Tashkent	1	0.997920924	1.48E-06	4.70E-07	7.70E-05	0.00200009
596763	UZBEKISTAN	Tashkent	4	0.065954428	0.001765111	3.52E-10	0.932280401	5.98E-08
596764	UZBEKISTAN	Tashkent	1	0.994599558	2.18E-05	2.90E-05	7.49E-06	0.005342199
596765	KAZAKISTAN	Almaty	4	0.009790009	2.03E-06	2.99E-09	0.990207894	6.75E-08
596769	KAZAKISTAN	Almaty	1	0.890819949	0.020943463	8.30E-07	0.079581397	0.008654361
596770	KAZAKISTAN	Almaty	2	0.021943703	0.931577695	0.00013687	0.00750501	0.038836722
596771	KAZAKISTAN	Almaty	4	1.11E-06	3.98E-05	1.59E-12	0.999959053	1.02E-10
596773	KAZAKISTAN	Almaty	5	0.055874188	0.003757011	1.62E-06	0.000195093	0.940172093
596774	KAZAKISTAN	Almaty	5	0.008497934	0.031781928	0.000697403	1.83E-06	0.959020901
596775	KAZAKISTAN	Almaty	5	0.020243075	3.38E-06	0.000250481	1.54E-07	0.979502913
596776	KAZAKISTAN	Almaty	1	0.993538738	9.06E-06	4.86E-08	2.41E-06	0.006449743
596777	KAZAKISTAN	Almaty	1	0.765519168	3.01E-05	3.40E-05	2.17E-05	0.23439513
596780	KAZAKISTAN	Almaty	1	0.954716083	0.041057435	6.92E-05	0.000297399	0.003859867
596782	KAZAKISTAN	Almaty	1	0.984384729	0.003261385	0.000396822	0.006836701	0.005120364
596783	KAZAKISTAN	Almaty	5	0.038400492	9.36E-05	4.98E-07	3.16E-08	0.961505425
596784	KAZAKISTAN	Almaty	5	0.024622807	0.000219637	1.68E-05	3.09E-08	0.975140759
596785	KAZAKISTAN	Almaty	1	0.997373381	3.16E-05	3.20E-11	0.002572652	2.24E-05
596787	KAZAKISTAN	Alga	1	0.851968366	0.000209132	3.28E-08	0.147790388	3.21E-05
596788	KAZAKISTAN	Alga	3	0.043877892	0.072990514	0.799590705	0.058847609	0.024693281
596789	KAZAKISTAN	Alga	4	0.110938437	0.00036127	2.78E-06	0.888688075	9.44E-06
596790	KAZAKISTAN	Alga	1	0.999803587	0.000143912	7.73E-07	2.74E-05	2.43E-05
