country	id	cl	X1	X2	X3	X4	X5	X6	village	village_name
ARMENIA	595093	5	1.57474636527858e-06	0.000852769829405766	0.000917547843266772	4.54212071793473e-07	0.998179312996755	4.83403721353e-05	ARMENIA0	Chambarak
ARMENIA	595094	2	9.6561311297292e-10	0.999735048123693	9.240955681367e-07	1.23446441359048e-05	0.000238023720986184	1.36584500041e-05	ARMENIA0	Chambarak
ARMENIA	595095	2	2.96827493929822e-09	0.99976185090745	1.790790522074e-07	1.08473932703876e-06	7.19869268652413e-06	0.0002296836132098	ARMENIA0	Chambarak
ARMENIA	595096	2	1.4359735872546e-10	0.999838577335583	1.1617716056215e-06	1.96250131494997e-07	0.000138531969174419	2.15325299077e-05	ARMENIA0	Chambarak
ARMENIA	595098	6	0.000374468852543582	0.00650906935766336	0.0494521656833611	4.57229550523302e-05	0.0435558272550992	0.90006274589628	ARMENIA0	Chambarak
ARMENIA	595100	6	5.66046452120547e-07	0.350956221384222	8.23820571574273e-05	0.00366834077750817	0.0075681561475797	0.637724333587081	ARMENIA0	Chambarak
ARMENIA	595102	5	1.7190446370371e-10	0.000314712797289803	3.6653716858996e-06	4.07335170093474e-05	0.999640716746708	1.713954023e-07	ARMENIA0	Chambarak
ARMENIA	595103	2	6.96872328309483e-07	0.9978377439316	7.192967959925e-07	9.49210230524103e-06	2.43755039880067e-06	0.0021489102465715	ARMENIA0	Chambarak
AZERBAIJAN	595104	6	3.0345126247145e-05	0.000115988392628098	8.01309594464668e-05	0.000159650043175602	0.00020888606377016	0.999404999414733	AZERBAIJAN1	Ismailly
AZERBAIJAN	595105	6	3.14740653129346e-05	1.02809552231124e-05	1.981369040113e-07	2.40346747871293e-05	8.504243544307e-08	0.999933927125337	AZERBAIJAN1	Ismailly
AZERBAIJAN	595106	2	8.46574971004613e-05	0.872462396748308	0.000183833578883214	3.54307884919854e-05	0.000760310293378052	0.126473371093838	AZERBAIJAN1	Ismailly
AZERBAIJAN	595107	1	0.996988284449776	3.0566754544e-09	0.00158225119992059	6.120520843e-13	1.26855150543e-09	0.0014294600244638	AZERBAIJAN1	Ismailly
AZERBAIJAN	595110	6	0.00695268665341785	0.00307003327274807	0.00368633141575215	3.08306863987115e-08	0.000560005565544258	0.985730912261851	AZERBAIJAN1	Ismailly
AZERBAIJAN	595111	6	0.000842080292869392	8.3982979113874e-06	0.136661380998188	4.9458517332594e-07	1.07836819421394e-05	0.862476862143916	AZERBAIJAN1	Ismailly
AZERBAIJAN	595112	3	0.000218185177825777	2.61961620209771e-05	0.647008911431298	2.36063712206248e-06	0.0170681026739875	0.335676243917746	AZERBAIJAN1	Ismailly
AZERBAIJAN	595113	6	0.195838826984098	2.04144009257e-07	0.0136511398715007	1.385022373475e-10	6.4084303250573e-07	0.790509188018857	AZERBAIJAN1	Ismailly
AZERBAIJAN	595114	6	0.000910380606367424	0.0209909204485681	0.0453352654119218	1.05541166634369e-05	0.0280390907882437	0.904713788628236	AZERBAIJAN1	Ismailly
AZERBAIJAN	595115	6	0.0481022538281927	8.91793689004216e-05	0.00886726888413516	4.71519934211117e-08	0.000342903947181881	0.942598346819596	AZERBAIJAN1	Ismailly
AZERBAIJAN	595116	6	1.02608761892511e-07	1.586997092322e-07	4.308551148e-10	7.40530125676815e-07	2.6221185632e-10	0.999998997468336	AZERBAIJAN1	Ismailly
AZERBAIJAN	595117	3	0.350909961014661	4.437171330327e-07	0.648371365891581	6.0052421973228e-09	9.22984488171083e-05	0.0006259249225657	AZERBAIJAN1	Ismailly
