country	id	cl	X1	X2	X3	X4	X5	X6	X7	village	village_name
AZERBAIJAN	595159	1	0.994401541222141	2.03278723121e-10	1.15978181525395e-05	1.112343874441e-11	3.518911223e-12	0.00558683070921156	3.003257396e-08	AZERBAIJAN0	Sis
AZERBAIJAN	595160	1	0.999983354071455	2.164633368126e-09	1.25990060324971e-06	1.34404133915e-12	5.09225979549e-11	1.527388394155e-05	1.0992710076e-07	AZERBAIJAN0	Sis
TAJIKISTAN	596635	1	0.999740247133656	7.9396998447e-11	6.90606036858422e-06	2.28744082372e-12	4.29388538864e-11	0.000252846665517259	1.583522e-11	TAJIKISTAN0	Shing
TAJIKISTAN	596636	1	0.999991414210444	5.843695460327e-09	8.0992207494921e-06	4.012300302e-14	3.2128277591e-12	3.701707409261e-07	1.105511173e-07	TAJIKISTAN0	Shing
TAJIKISTAN	596638	1	0.999969871894955	9.35236076e-13	1.22568159865791e-06	1.0243799e-16	2.594960137e-13	2.88276818250231e-05	7.474042618e-08	TAJIKISTAN0	Shing
TAJIKISTAN	596639	1	0.999990790280418	5.70217802e-13	2.68681555747007e-06	2.3266153e-16	6.88506e-17	6.5228679809621e-06	3.547319e-11	TAJIKISTAN0	Shing
TAJIKISTAN	596640	1	0.971625911826514	1.08263056348124e-05	0.0133765619548772	0.000358050532833933	3.94962145705384e-07	2.10914471575678e-05	0.0146071629708365	TAJIKISTAN0	Shing
TAJIKISTAN	596643	1	0.96186084027828	1.873441875e-12	1.67062460273278e-07	1.54024578439e-12	2.4593418618e-12	0.0381175942472463	2.139840614003e-05	TAJIKISTAN0	Shing
TAJIKISTAN	596644	6	3.07330308389527e-06	3.70135487552433e-06	5.2425144355685e-08	3.43406072942075e-06	1.498706161961e-10	0.999989266114999	4.725912969e-07	TAJIKISTAN0	Shing
TAJIKISTAN	596645	3	0.0128304665618162	2.12755670316656e-07	0.987008282714474	2.00925686670456e-09	8.72234564565845e-05	6.34246391277987e-05	1.038786319784e-05	TAJIKISTAN0	Shing
TAJIKISTAN	596647	1	0.999988290623024	9.33272455e-13	9.77512743847129e-06	2.44686865024e-12	2.7281914881e-12	1.9340196264301e-06	2.238024e-10	TAJIKISTAN0	Shing
TAJIKISTAN	596648	1	0.999999996547087	4.652422097e-12	3.0347462333e-10	1.16779169048244e-09	2.7618658038e-12	1.7704762466e-09	2.0375589e-10	TAJIKISTAN0	Shing
TAJIKISTAN	596650	1	0.998099500955098	2.9097981995e-11	0.0017503770327445	2.6262993e-16	4.2754537813e-12	0.000147511747537337	2.61023124592e-06	TAJIKISTAN1	Zeravshan
TAJIKISTAN	596651	1	0.990143465419909	7.92176554583e-10	0.00967493518501697	2.20239599178e-12	1.9543949848461e-09	4.03471976002122e-05	0.00014124944870002	TAJIKISTAN0	Shing
TAJIKISTAN	596653	1	0.999966475177034	1.90628774e-13	2.8604630172427e-05	5.26297e-18	7.7179315e-14	4.868734499467e-06	5.14580267e-08	TAJIKISTAN0	Shing
TAJIKISTAN	596655	1	0.999992358497996	3.2673452303e-11	4.2890235946329e-08	1.29181844e-15	1.06010503e-14	7.5947820091949e-06	3.7970739e-09	TAJIKISTAN0	Shing
TAJIKISTAN	596657	1	0.577589421598788	8.360869544695e-09	1.5645924561862e-07	1.94247089827e-12	2.01170915278e-11	0.422408840265242	1.57329379541e-06	TAJIKISTAN0	Shing
TAJIKISTAN	596661	1	0.999987432481301	9.5665591e-13	9.71622884977819e-06	1.9702516088e-13	4.68735195652e-11	2.4255530808115e-06	4.2568874165e-07	TAJIKISTAN0	Shing
TAJIKISTAN	596662	1	0.954348609447553	1.1595434885474e-08	0.0454487405828267	2.109489696977e-11	4.972426736075e-09	6.78328457326663e-05	0.0001348005349313	TAJIKISTAN1	Zeravshan
TAJIKISTAN	596666	3	0.00207912404755694	8.75382820784e-10	0.997914031528107	8.067549978456e-08	1.35636314243198e-07	7.813468875246e-07	5.84589025199e-06	TAJIKISTAN1	Zeravshan
TAJIKISTAN	596667	7	0.000683313417829876	8.06897295560087e-05	0.0677978718986895	9.20865172101645e-07	2.0218650549835e-07	0.0172016273785653	0.914235374523682	TAJIKISTAN2	Khorog
TAJIKISTAN	596671	1	0.999123782908836	5.814188621599e-09	0.000303496437393091	6.43082335e-15	1.2822203778e-12	0.000564073513803712	8.6413244897e-06	TAJIKISTAN1	Zeravshan
TAJIKISTAN	596672	1	0.999996680520461	1.22586662993e-10	1.97174304442452e-06	1.364016917239e-11	1.07298897468e-11	1.3370339735806e-06	1.055556443e-08	TAJIKISTAN1	Zeravshan
TAJIKISTAN	596675	1	0.914800578656681	7.31832018937269e-07	0.0845602819489719	1.14200269039284e-06	0.000241661743459931	3.85465058699124e-05	0.00035705731030816	TAJIKISTAN1	Zeravshan
TAJIKISTAN	596676	1	0.990554560358932	3.3686514339564e-08	0.00943569980242135	2.659398017e-14	1.89819484299e-11	4.7551355582595e-06	4.95099756566e-06	TAJIKISTAN1	Zeravshan
TAJIKISTAN	596677	1	0.985986355387101	1.9758272317e-11	0.0140122829211074	7.5359487376e-13	4.55024344737e-11	1.2091079427239e-06	1.5251783498e-07	TAJIKISTAN1	Zeravshan
TAJIKISTAN	596680	1	0.999919353150146	4.3675711433e-11	7.3069695996794e-05	1.35892801268e-12	1.81005782112e-11	7.3048863615966e-06	2.7220436037e-07	TAJIKISTAN3	Kalaikhum
TAJIKISTAN	596681	1	0.999979170909155	6.75472342442e-10	5.0892027654371e-06	7.2751707e-15	4.841693621e-13	1.53148929681905e-05	4.2431914754e-07	TAJIKISTAN3	Kalaikhum
TAJIKISTAN	596682	1	0.983777055731495	5.5905313677534e-08	0.00130356115819423	2.34745306029e-10	5.19629969563e-11	0.0144414552245203	0.00047787169376809	TAJIKISTAN3	Kalaikhum
TAJIKISTAN	596683	1	0.99961430473582	7.3877220867e-11	2.84702689852254e-07	7.82365380274e-12	1.211027117e-13	0.000385372820210963	3.765945671e-08	TAJIKISTAN3	Kalaikhum
TAJIKISTAN	596684	3	5.15569590782013e-05	9.3064542859579e-08	0.999868653980128	7.6068212842289e-10	1.0390229784051e-07	5.19266438736e-08	7.953940662711e-05	TAJIKISTAN3	Kalaikhum
TAJIKISTAN	596685	1	0.998711424982885	4.77961432059e-10	0.00128832958114796	5.2814619536e-13	6.5936330674587e-09	2.301127798002e-07	8.2510644e-09	TAJIKISTAN3	Kalaikhum
TAJIKISTAN	596687	1	0.873961844545931	2.9042765050235e-08	0.125930776330554	1.14340108831e-11	7.873397325474e-10	0.000104809726982053	2.53955499385e-06	TAJIKISTAN3	Kalaikhum
TAJIKISTAN	596688	1	0.989525785570816	1.17760459152765e-07	0.0103251762210227	4.63185151352e-12	2.64882680329096e-08	1.5095021710706e-06	0.00014738445263102	TAJIKISTAN3	Kalaikhum
TAJIKISTAN	596689	1	0.999995172430048	8.5698469631e-11	3.62802112591398e-06	5.28771478e-15	1.62277072e-14	4.590518839806e-07	7.4041122236e-07	TAJIKISTAN3	Kalaikhum
TAJIKISTAN	596690	1	0.999886357342428	1.492374743665e-09	5.7338238398309e-06	3.371885001e-14	4.147478255e-13	0.000107419591788444	4.8774912058e-07	TAJIKISTAN3	Kalaikhum
TAJIKISTAN	596692	1	0.999989652008239	1.0495109055e-10	3.8180337920261e-08	3.7101835e-16	4.0504794e-15	1.03085706115302e-05	1.13585561e-09	TAJIKISTAN3	Kalaikhum
TAJIKISTAN	596693	1	0.999773626065967	4.006585244e-12	0.000224706546891691	9.135146321e-14	1.61130664e-13	1.1417541975443e-06	5.2562868453e-07	TAJIKISTAN3	Kalaikhum
TAJIKISTAN	596694	1	0.99911735404588	1.0378533190173e-08	0.000624828588715471	9.3976751296976e-10	4.7610517764275e-09	0.00012314463670412	0.00013465664934766	TAJIKISTAN3	Kalaikhum
TAJIKISTAN	596695	1	0.999931842253535	1.83243624127e-10	6.38696499315635e-05	1.7934875038e-13	1.1957588126e-12	3.093914827867e-07	3.97852043199e-06	TAJIKISTAN3	Kalaikhum
TAJIKISTAN	596696	1	0.999997897560208	1.03242251543e-09	1.50696284335352e-06	5.575762397059e-11	2.336105064243e-10	2.6576362345e-07	3.2839153405e-07	TAJIKISTAN3	Kalaikhum
TAJIKISTAN	596697	1	0.966175188537539	4.6104087081e-11	0.000105233554284266	4.6243749759307e-08	9.9557042038083e-09	0.0333375812180684	0.00038194044454982	TAJIKISTAN3	Kalaikhum
